date	html	pdf	abstract	epdf
2012-01-01	16	12	2	0
2012-02-01	10	15	2	0
2012-03-01	7	6	0	0
2012-04-01	12	13	0	0
2012-05-01	24	20	4	0
2012-06-01	13	23	0	0
2012-07-01	19	13	2	0
2012-08-01	22	7	0	0
2012-09-01	17	13	1	0
2012-10-01	25	25	0	0
2012-11-01	35	15	1	0
2012-12-01	17	6	1	0
2013-01-01	31	10	2	0
2013-02-01	32	13	6	0
2013-03-01	36	23	2	0
2013-04-01	39	17	1	0
2013-05-01	27	6	5	0
2013-06-01	31	10	1	0
2013-07-01	13	5	1	0
2013-08-01	15	6	4	0
2013-09-01	9	9	0	0
2013-10-01	25	13	0	0
2013-11-01	28	13	3	0
2013-12-01	56	5	2	0
2014-01-01	34	5	2	0
2014-02-01	12	12	0	0
2014-03-01	24	9	2	0
2014-04-01	24	12	2	0
2014-05-01	23	9	1	0
2014-06-01	20	13	1	0
2014-07-01	39	3	21	0
2014-08-01	18	8	2	0
2014-09-01	12	4	1	0
2014-10-01	20	4	2	0
2014-11-01	10	7	1	0
2014-12-01	11	4	6	0
2015-01-01	24	5	1	0
2015-02-01	9	3	1	0
2015-03-01	16	7	1	0
2015-04-01	14	6	0	0
2015-05-01	24	5	9	0
2015-06-01	17	5	1	1
2015-07-01	10	3	1	0
2015-08-01	18	5	0	0
2015-09-01	13	3	0	0
2015-10-01	25	5	1	0
2015-11-01	22	2	1	0
2015-12-01	22	4	0	0
2016-01-01	17	6	3	0
2016-02-01	8	2	0	0
2016-03-01	21	8	1	0
2016-04-01	20	5	0	0
