date	html	pdf	abstract	epdf
2012-01-01	13	5	1	0
2012-02-01	21	7	4	0
2012-03-01	23	10	1	0
2012-04-01	39	1	0	0
2012-05-01	38	5	1	0
2012-06-01	41	3	0	0
2012-07-01	27	0	1	0
2012-08-01	19	4	0	0
2012-09-01	18	5	0	0
2012-10-01	24	11	0	0
2012-11-01	35	6	1	0
2012-12-01	21	6	2	0
2013-01-01	16	5	1	0
2013-02-01	16	4	1	0
2013-03-01	25	5	1	0
2013-04-01	32	11	2	0
2013-05-01	30	9	0	0
2013-06-01	24	10	3	0
2013-07-01	19	11	1	0
2013-08-01	17	8	1	0
2013-09-01	12	3	0	0
2013-10-01	36	11	1	0
2013-11-01	58	22	1	0
2013-12-01	23	10	0	0
2014-01-01	8	5	2	0
2014-02-01	17	21	1	0
2014-03-01	16	8	3	0
2014-04-01	54	5	1	0
2014-05-01	20	7	2	0
2014-06-01	12	7	0	0
2014-07-01	26	6	14	0
2014-08-01	21	10	2	0
2014-09-01	13	6	1	0
2014-10-01	26	6	2	0
2014-11-01	93	14	0	0
2014-12-01	8	8	0	0
2015-01-01	23	4	4	0
2015-02-01	9	4	0	0
2015-03-01	21	4	1	0
2015-04-01	18	4	1	0
2015-05-01	15	15	7	0
2015-06-01	12	17	1	0
2015-07-01	9	8	1	0
2015-08-01	6	8	1	0
2015-09-01	8	8	1	0
2015-10-01	22	14	3	0
2015-11-01	37	16	1	0
2015-12-01	14	14	2	0
2016-01-01	10	10	3	0
2016-02-01	16	10	4	0
2016-03-01	9	11	5	0
2016-04-01	14	6	1	0
