date	html	pdf	abstract	epdf
2012-01-01	23	35	1	0
2012-02-01	41	42	4	0
2012-03-01	37	28	3	0
2012-04-01	42	14	2	0
2012-05-01	74	25	2	0
2012-06-01	52	7	1	0
2012-07-01	33	9	1	0
2012-08-01	41	1	0	0
2012-09-01	47	14	2	0
2012-10-01	38	14	7	0
2012-11-01	66	7	6	0
2012-12-01	50	8	2	0
2013-01-01	34	7	5	0
2013-02-01	54	12	2	0
2013-03-01	70	12	2	0
2013-04-01	60	4	7	0
2013-05-01	57	13	1	0
2013-06-01	28	11	1	0
2013-07-01	32	5	4	0
2013-08-01	45	12	5	0
2013-09-01	36	9	0	0
2013-10-01	60	13	1	0
2013-11-01	42	25	6	0
2013-12-01	31	11	0	0
2014-01-01	26	4	5	0
2014-02-01	52	7	1	0
2014-03-01	46	16	3	0
2014-04-01	49	10	11	0
2014-05-01	48	18	3	0
2014-06-01	28	5	1	0
2014-07-01	30	4	13	0
2014-08-01	25	9	2	0
2014-09-01	28	4	4	0
2014-10-01	46	7	6	0
2014-11-01	30	6	0	0
2014-12-01	26	3	3	0
2015-01-01	40	6	2	0
2015-02-01	26	0	0	0
2015-03-01	32	5	2	0
2015-04-01	28	2	1	0
2015-05-01	36	7	12	0
2015-06-01	43	6	5	3
2015-07-01	33	4	0	0
2015-08-01	24	8	5	0
2015-09-01	15	5	1	0
2015-10-01	29	0	1	0
2015-11-01	33	5	1	0
2015-12-01	35	5	1	0
2016-01-01	15	7	1	0
2016-02-01	21	5	0	0
2016-03-01	29	4	0	0
2016-04-01	27	11	0	0
