date	html	pdf	abstract	epdf
2012-01-01	11	10	3	0
2012-02-01	12	8	3	0
2012-03-01	21	18	4	0
2012-04-01	12	8	0	0
2012-05-01	28	13	5	0
2012-06-01	17	17	2	0
2012-07-01	31	18	2	0
2012-08-01	14	20	0	0
2012-09-01	25	19	1	0
2012-10-01	36	21	1	0
2012-11-01	31	22	1	0
2012-12-01	21	20	3	0
2013-01-01	27	11	3	0
2013-02-01	42	47	2	0
2013-03-01	48	41	2	0
2013-04-01	64	27	3	0
2013-05-01	81	56	1	0
2013-06-01	63	25	5	0
2013-07-01	34	18	2	0
2013-08-01	48	38	4	0
2013-09-01	49	14	2	0
2013-10-01	47	24	0	0
2013-11-01	63	36	1	0
2013-12-01	38	23	2	0
2014-01-01	17	29	4	0
2014-02-01	38	28	0	0
2014-03-01	52	39	1	0
2014-04-01	42	34	3	0
2014-05-01	42	29	3	0
2014-06-01	46	31	1	0
2014-07-01	71	26	12	0
2014-08-01	31	32	2	0
2014-09-01	50	43	1	0
2014-10-01	56	43	1	0
2014-11-01	42	48	1	0
2014-12-01	35	20	5	0
2015-01-01	40	25	1	0
2015-02-01	24	11	3	0
2015-03-01	93	48	2	0
2015-04-01	95	63	2	0
2015-05-01	66	60	6	0
2015-06-01	55	77	3	0
2015-07-01	26	34	0	0
2015-08-01	56	55	0	0
2015-09-01	57	60	0	0
2015-10-01	44	44	1	0
2015-11-01	64	43	1	0
2015-12-01	32	32	0	0
2016-01-01	37	50	5	0
2016-02-01	41	25	1	0
2016-03-01	51	26	1	0
2016-04-01	44	39	0	0
