date	html	pdf	abstract	epdf
2011-12-01	2	1	0	0
2012-01-01	39	9	1	0
2012-02-01	43	17	2	0
2012-03-01	54	21	4	0
2012-04-01	39	12	1	0
2012-05-01	67	32	1	0
2012-06-01	54	18	3	0
2012-07-01	23	12	1	0
2012-08-01	38	8	0	0
2012-09-01	67	60	1	0
2012-10-01	68	17	0	0
2012-11-01	66	14	1	0
2012-12-01	31	4	1	0
2013-01-01	27	12	3	0
2013-02-01	28	8	1	0
2013-03-01	45	18	1	0
2013-04-01	50	16	3	0
2013-05-01	50	12	1	0
2013-06-01	37	11	2	0
2013-07-01	31	19	0	0
2013-08-01	28	18	2	0
2013-09-01	19	7	3	0
2013-10-01	37	23	0	0
2013-11-01	47	26	1	0
2013-12-01	26	17	0	0
2014-01-01	8	11	2	0
2014-02-01	18	43	0	0
2014-03-01	32	11	1	0
2014-04-01	21	15	2	0
2014-05-01	17	18	1	0
2014-06-01	28	32	3	0
2014-07-01	35	20	11	0
2014-08-01	17	14	2	0
2014-09-01	52	12	3	0
2014-10-01	46	10	1	0
2014-11-01	57	18	0	0
2014-12-01	50	8	1	0
2015-01-01	32	6	1	0
2015-02-01	10	9	0	0
2015-03-01	22	7	0	0
2015-04-01	35	15	0	0
2015-05-01	38	19	7	0
2015-06-01	38	30	1	1
2015-07-01	35	14	0	0
2015-08-01	30	20	0	0
2015-09-01	45	19	0	0
2015-10-01	31	21	1	0
2015-11-01	35	14	1	0
2015-12-01	26	21	0	0
2016-01-01	23	17	1	0
2016-02-01	23	14	2	0
2016-03-01	25	6	0	0
2016-04-01	30	13	0	0
