date	html	pdf	abstract	epdf
2011-12-01	0	1	0	0
2012-01-01	29	27	4	0
2012-02-01	19	38	0	0
2012-03-01	45	21	0	0
2012-04-01	37	26	1	0
2012-05-01	49	45	2	0
2012-06-01	41	18	0	0
2012-07-01	35	15	4	0
2012-08-01	32	41	1	0
2012-09-01	28	24	2	0
2012-10-01	40	31	3	0
2012-11-01	31	23	1	0
2012-12-01	25	8	4	0
2013-01-01	14	25	3	0
2013-02-01	21	88	3	0
2013-03-01	17	53	4	0
2013-04-01	52	35	6	0
2013-05-01	44	21	1	0
2013-06-01	35	19	6	0
2013-07-01	25	19	4	0
2013-08-01	23	19	6	0
2013-09-01	29	14	3	0
2013-10-01	30	28	2	0
2013-11-01	28	23	1	0
2013-12-01	45	16	2	0
2014-01-01	8	19	3	0
2014-02-01	12	4	0	0
2014-03-01	42	6	3	0
2014-04-01	19	7	5	0
2014-05-01	29	3	3	0
2014-06-01	20	1	7	0
2014-07-01	22	5	13	0
2014-08-01	30	5	14	0
2014-09-01	27	5	18	0
2014-10-01	26	3	21	0
2014-11-01	30	5	21	0
2014-12-01	18	2	22	0
2015-01-01	32	3	25	0
2015-02-01	32	1	22	0
2015-03-01	51	9	24	0
2015-04-01	37	1	26	0
2015-05-01	31	8	25	0
2015-06-01	64	26	21	2
2015-07-01	25	16	21	0
2015-08-01	28	14	19	0
2015-09-01	21	5	18	0
2015-10-01	30	11	21	0
2015-11-01	41	31	20	0
2015-12-01	25	7	19	0
2016-01-01	11	11	21	0
2016-02-01	17	7	21	0
2016-03-01	26	9	14	0
2016-04-01	21	21	20	0
