date	html	pdf	abstract	epdf
2012-01-01	20	12	1	0
2012-02-01	34	5	4	0
2012-03-01	26	7	1	0
2012-04-01	45	5	1	0
2012-05-01	36	2	2	0
2012-06-01	34	8	2	0
2012-07-01	34	12	1	0
2012-08-01	26	8	3	0
2012-09-01	36	11	3	0
2012-10-01	41	9	3	0
2012-11-01	39	9	3	0
2012-12-01	36	9	4	0
2013-01-01	39	8	2	0
2013-02-01	33	4	3	0
2013-03-01	67	19	11	0
2013-04-01	40	25	3	0
2013-05-01	50	15	0	0
2013-06-01	28	7	5	0
2013-07-01	23	7	2	0
2013-08-01	22	5	3	0
2013-09-01	27	6	2	0
2013-10-01	35	10	0	0
2013-11-01	41	8	3	0
2013-12-01	42	9	2	0
2014-01-01	34	9	3	0
2014-02-01	36	5	6	0
2014-03-01	66	11	3	0
2014-04-01	23	8	6	0
2014-05-01	43	14	6	0
2014-06-01	55	9	6	0
2014-07-01	58	10	14	0
2014-08-01	35	9	7	0
2014-09-01	39	6	4	0
2014-10-01	68	8	2	0
2014-11-01	80	8	4	0
2014-12-01	67	5	5	0
2015-01-01	81	4	5	0
2015-02-01	55	9	2	0
2015-03-01	78	6	4	0
2015-04-01	56	2	5	0
2015-05-01	49	14	6	0
2015-06-01	39	8	2	1
2015-07-01	41	8	0	0
2015-08-01	38	11	0	0
2015-09-01	66	10	1	0
2015-10-01	90	8	3	0
2015-11-01	59	7	1	0
2015-12-01	58	6	0	0
2016-01-01	44	9	1	0
2016-02-01	49	15	1	0
2016-03-01	51	3	0	0
2016-04-01	65	9	0	0
