date	html	pdf	abstract	epdf
2012-01-01	33	13	0	0
2012-02-01	49	33	1	0
2012-03-01	82	74	5	0
2012-04-01	59	88	0	0
2012-05-01	69	57	2	0
2012-06-01	62	58	0	0
2012-07-01	29	24	2	0
2012-08-01	41	49	0	0
2012-09-01	36	43	1	0
2012-10-01	63	95	2	0
2012-11-01	50	44	8	0
2012-12-01	41	38	2	0
2013-01-01	29	28	3	0
2013-02-01	39	84	2	0
2013-03-01	72	109	4	0
2013-04-01	76	99	1	0
2013-05-01	66	80	1	0
2013-06-01	36	79	2	0
2013-07-01	27	52	2	0
2013-08-01	43	89	1	0
2013-09-01	59	84	0	0
2013-10-01	61	71	1	0
2013-11-01	61	76	2	0
2013-12-01	25	44	0	0
2014-01-01	18	23	3	0
2014-02-01	32	85	0	0
2014-03-01	35	80	1	0
2014-04-01	53	58	1	0
2014-05-01	50	77	3	0
2014-06-01	42	48	1	0
2014-07-01	49	43	16	0
2014-08-01	53	80	2	0
2014-09-01	40	60	1	0
2014-10-01	39	50	2	0
2014-11-01	77	64	0	0
2014-12-01	29	23	2	0
2015-01-01	44	25	3	0
2015-02-01	22	28	2	0
2015-03-01	50	74	5	0
2015-04-01	38	62	3	0
2015-05-01	61	136	9	1
2015-06-01	194	169	1	2
2015-07-01	317	56	0	0
2015-08-01	33	26	1	0
2015-09-01	49	63	0	0
2015-10-01	64	79	1	0
2015-11-01	63	87	1	0
2015-12-01	31	39	0	0
2016-01-01	38	25	1	0
2016-02-01	27	13	0	0
2016-03-01	25	10	0	0
2016-04-01	40	10	0	0
