date	html	pdf	abstract	epdf
2012-01-01	38	7	3	0
2012-02-01	56	6	3	0
2012-03-01	127	17	2	0
2012-04-01	132	36	1	0
2012-05-01	151	88	2	0
2012-06-01	115	17	1	0
2012-07-01	62	5	3	0
2012-08-01	88	15	0	0
2012-09-01	136	20	1	0
2012-10-01	182	28	3	0
2012-11-01	138	20	1	0
2012-12-01	72	11	4	0
2013-01-01	60	5	4	0
2013-02-01	70	5	0	0
2013-03-01	91	14	1	0
2013-04-01	108	22	9	0
2013-05-01	130	19	5	0
2013-06-01	101	10	1	0
2013-07-01	79	13	1	0
2013-08-01	82	31	4	0
2013-09-01	81	15	0	0
2013-10-01	105	48	1	0
2013-11-01	79	53	1	0
2013-12-01	42	30	1	0
2014-01-01	30	28	2	0
2014-02-01	54	32	1	0
2014-03-01	85	49	1	0
2014-04-01	67	29	2	0
2014-05-01	129	64	1	0
2014-06-01	125	38	3	0
2014-07-01	84	20	7	0
2014-08-01	80	23	3	0
2014-09-01	87	33	2	0
2014-10-01	134	38	4	0
2014-11-01	125	33	1	0
2014-12-01	60	14	8	0
2015-01-01	55	4	5	0
2015-02-01	80	13	3	0
2015-03-01	85	14	4	0
2015-04-01	140	18	2	0
2015-05-01	95	76	10	1
2015-06-01	99	80	2	2
2015-07-01	76	42	1	0
2015-08-01	39	37	3	0
2015-09-01	113	49	3	0
2015-10-01	91	86	2	0
2015-11-01	95	66	2	0
2015-12-01	38	36	2	0
2016-01-01	43	35	2	0
2016-02-01	39	28	3	0
2016-03-01	38	18	1	0
2016-04-01	76	27	1	0
