date	html	pdf	abstract	epdf
2012-01-01	57	12	4	0
2012-02-01	43	7	1	0
2012-03-01	112	7	3	0
2012-04-01	97	8	1	0
2012-05-01	116	10	2	0
2012-06-01	125	11	2	0
2012-07-01	51	10	2	0
2012-08-01	65	9	1	0
2012-09-01	72	12	1	0
2012-10-01	65	9	2	0
2012-11-01	80	15	2	0
2012-12-01	59	8	4	0
2013-01-01	55	8	4	0
2013-02-01	49	20	1	0
2013-03-01	62	25	1	0
2013-04-01	64	11	1	0
2013-05-01	66	16	0	0
2013-06-01	49	10	2	0
2013-07-01	28	6	4	0
2013-08-01	37	1	3	0
2013-09-01	29	6	0	0
2013-10-01	33	4	0	0
2013-11-01	51	23	4	0
2013-12-01	33	12	1	0
2014-01-01	10	3	2	0
2014-02-01	28	22	0	0
2014-03-01	45	11	3	0
2014-04-01	33	6	2	0
2014-05-01	59	10	3	0
2014-06-01	36	16	1	0
2014-07-01	42	16	14	0
2014-08-01	33	12	3	0
2014-09-01	35	8	2	0
2014-10-01	55	14	2	0
2014-11-01	80	17	4	0
2014-12-01	55	6	2	0
2015-01-01	32	6	5	0
2015-02-01	20	8	1	0
2015-03-01	53	4	1	0
2015-04-01	48	8	5	0
2015-05-01	68	15	7	0
2015-06-01	79	18	4	3
2015-07-01	55	6	1	0
2015-08-01	41	10	1	0
2015-09-01	39	9	3	0
2015-10-01	53	8	2	0
2015-11-01	71	15	2	0
2015-12-01	39	9	3	0
2016-01-01	33	13	2	0
2016-02-01	31	13	1	0
2016-03-01	43	19	1	0
2016-04-01	61	18	2	0
