date	html	pdf	abstract	epdf
2012-01-01	30	30	2	0
2012-02-01	58	19	0	0
2012-03-01	102	14	1	0
2012-04-01	70	5	2	0
2012-05-01	63	7	4	0
2012-06-01	32	1	5	0
2012-07-01	26	1	2	0
2012-08-01	40	7	4	0
2012-09-01	63	8	7	0
2012-10-01	153	4	4	0
2012-11-01	69	3	5	0
2012-12-01	52	5	5	0
2013-01-01	29	9	6	0
2013-02-01	38	13	6	0
2013-03-01	41	7	6	0
2013-04-01	58	28	2	0
2013-05-01	51	15	3	0
2013-06-01	28	4	3	0
2013-07-01	19	8	1	0
2013-08-01	20	3	1	0
2013-09-01	40	6	1	0
2013-10-01	118	19	1	0
2013-11-01	52	11	2	0
2013-12-01	64	26	3	0
2014-01-01	33	9	2	0
2014-02-01	44	11	0	0
2014-03-01	41	16	2	0
2014-04-01	54	17	2	0
2014-05-01	40	18	1	0
2014-06-01	43	7	2	0
2014-07-01	47	17	11	0
2014-08-01	32	9	3	0
2014-09-01	38	14	2	0
2014-10-01	49	8	1	0
2014-11-01	57	20	0	0
2014-12-01	46	26	4	0
2015-01-01	53	13	4	0
2015-02-01	53	21	2	0
2015-03-01	72	15	2	0
2015-04-01	42	21	4	0
2015-05-01	49	31	7	0
2015-06-01	58	42	2	0
2015-07-01	45	8	1	0
2015-08-01	33	16	0	0
2015-09-01	29	9	0	1
2015-10-01	63	14	3	0
2015-11-01	51	32	2	0
2015-12-01	63	14	1	0
2016-01-01	63	30	1	0
2016-02-01	53	16	0	0
2016-03-01	38	18	3	0
2016-04-01	64	17	0	0
