date	html	pdf	abstract	epdf
2012-01-01	20	4	1	0
2012-02-01	18	4	1	0
2012-03-01	28	10	4	0
2012-04-01	33	8	1	0
2012-05-01	29	4	4	0
2012-06-01	38	6	0	0
2012-07-01	20	3	1	0
2012-08-01	23	6	0	0
2012-09-01	17	2	0	0
2012-10-01	26	4	0	0
2012-11-01	27	10	1	0
2012-12-01	20	6	0	0
2013-01-01	18	1	2	0
2013-02-01	18	1	1	0
2013-03-01	25	2	1	0
2013-04-01	37	5	1	0
2013-05-01	45	2	1	0
2013-06-01	25	2	1	0
2013-07-01	21	5	2	0
2013-08-01	15	2	2	0
2013-09-01	23	9	1	0
2013-10-01	20	6	0	0
2013-11-01	33	5	1	0
2013-12-01	21	2	0	0
2014-01-01	24	7	2	0
2014-02-01	22	5	0	0
2014-03-01	24	8	2	0
2014-04-01	18	6	2	0
2014-05-01	17	6	0	0
2014-06-01	29	8	1	0
2014-07-01	38	9	11	0
2014-08-01	25	16	2	0
2014-09-01	19	3	2	0
2014-10-01	10	4	2	0
2014-11-01	26	6	0	0
2014-12-01	11	7	5	0
2015-01-01	32	3	4	0
2015-02-01	11	4	0	0
2015-03-01	23	11	0	0
2015-04-01	6	6	0	0
2015-05-01	28	14	7	0
2015-06-01	21	6	1	0
2015-07-01	23	1	1	0
2015-08-01	19	2	0	0
2015-09-01	22	2	0	0
2015-10-01	25	2	1	0
2015-11-01	27	3	1	0
2015-12-01	19	1	0	0
2016-01-01	18	5	1	0
2016-02-01	22	8	0	0
2016-03-01	18	5	0	0
2016-04-01	28	10	1	0
