date	html	pdf	abstract	epdf
2012-01-01	9	6	0	0
2012-02-01	19	4	4	0
2012-03-01	30	8	1	0
2012-04-01	16	10	0	0
2012-05-01	19	11	1	0
2012-06-01	11	3	1	0
2012-07-01	8	2	2	0
2012-08-01	15	3	0	0
2012-09-01	10	6	1	0
2012-10-01	15	6	0	0
2012-11-01	18	4	2	0
2012-12-01	12	5	1	0
2013-01-01	12	12	2	0
2013-02-01	6	11	2	0
2013-03-01	17	7	2	0
2013-04-01	14	6	4	0
2013-05-01	23	11	2	0
2013-06-01	18	6	1	0
2013-07-01	7	4	2	0
2013-08-01	17	5	3	0
2013-09-01	12	3	0	0
2013-10-01	15	7	0	0
2013-11-01	10	2	2	0
2013-12-01	9	3	0	0
2014-01-01	13	3	2	0
2014-02-01	14	8	0	0
2014-03-01	24	6	1	0
2014-04-01	22	4	1	0
2014-05-01	11	5	1	0
2014-06-01	10	2	1	0
2014-07-01	37	4	17	0
2014-08-01	22	7	4	0
2014-09-01	16	2	1	0
2014-10-01	19	5	1	0
2014-11-01	18	11	0	0
2014-12-01	13	4	3	0
2015-01-01	27	4	1	0
2015-02-01	7	4	1	0
2015-03-01	12	8	1	0
2015-04-01	13	2	1	0
2015-05-01	17	4	3	0
2015-06-01	24	5	2	0
2015-07-01	8	3	0	0
2015-08-01	12	4	0	0
2015-09-01	13	2	1	0
2015-10-01	15	4	2	0
2015-11-01	10	3	2	0
2015-12-01	17	3	2	0
2016-01-01	13	8	4	0
2016-02-01	11	6	1	0
2016-03-01	12	3	0	0
2016-04-01	20	5	4	0
