date	html	pdf	abstract	epdf
2012-01-01	16	11	12	0
2012-02-01	23	11	13	0
2012-03-01	36	10	9	0
2012-04-01	47	6	6	0
2012-05-01	38	5	14	0
2012-06-01	36	5	9	0
2012-07-01	18	12	9	0
2012-08-01	16	6	9	0
2012-09-01	31	11	8	0
2012-10-01	39	6	10	0
2012-11-01	116	6	3	0
2012-12-01	31	9	3	0
2013-01-01	34	12	28	0
2013-02-01	28	13	10	0
2013-03-01	26	11	10	0
2013-04-01	35	0	7	0
2013-05-01	38	10	8	0
2013-06-01	33	3	9	0
2013-07-01	14	5	9	0
2013-08-01	21	4	10	0
2013-09-01	32	12	2	0
2013-10-01	22	6	5	0
2013-11-01	51	10	15	0
2013-12-01	23	6	22	0
2014-01-01	17	2	22	0
2014-02-01	18	5	19	0
2014-03-01	32	6	18	0
2014-04-01	20	6	16	0
2014-05-01	44	14	17	0
2014-06-01	27	6	18	0
2014-07-01	36	6	26	0
2014-08-01	22	4	12	0
2014-09-01	36	8	10	0
2014-10-01	26	2	6	0
2014-11-01	24	9	6	0
2014-12-01	53	7	9	0
2015-01-01	55	7	9	0
2015-02-01	20	3	3	0
2015-03-01	35	3	4	0
2015-04-01	30	5	8	0
2015-05-01	44	9	8	0
2015-06-01	28	7	4	3
2015-07-01	20	3	0	0
2015-08-01	24	5	0	0
2015-09-01	25	10	2	0
2015-10-01	29	5	1	0
2015-11-01	30	5	1	0
2015-12-01	29	4	0	0
2016-01-01	23	3	1	0
2016-02-01	16	5	0	0
2016-03-01	24	5	0	0
2016-04-01	34	4	0	0
