date	html	pdf	abstract	epdf
2011-12-01	1	0	0	0
2012-01-01	68	8	1	0
2012-02-01	119	21	1	0
2012-03-01	157	18	3	0
2012-04-01	82	11	2	0
2012-05-01	83	14	1	0
2012-06-01	55	17	2	0
2012-07-01	29	20	1	0
2012-08-01	38	14	0	0
2012-09-01	52	13	1	0
2012-10-01	69	21	2	0
2012-11-01	60	19	1	0
2012-12-01	32	7	2	0
2013-01-01	36	9	3	0
2013-02-01	89	9	1	0
2013-03-01	119	14	3	0
2013-04-01	98	19	2	0
2013-05-01	71	12	1	0
2013-06-01	64	13	3	0
2013-07-01	40	16	0	0
2013-08-01	41	12	2	0
2013-09-01	44	8	0	0
2013-10-01	54	15	0	0
2013-11-01	90	14	1	0
2013-12-01	34	12	1	0
2014-01-01	25	9	2	0
2014-02-01	38	8	0	0
2014-03-01	58	21	3	0
2014-04-01	50	13	2	0
2014-05-01	90	12	2	0
2014-06-01	66	53	1	0
2014-07-01	79	107	6	0
2014-08-01	73	195	6	0
2014-09-01	96	162	1	0
2014-10-01	79	191	2	0
2014-11-01	75	207	1	0
2014-12-01	45	69	2	0
2015-01-01	63	44	0	0
2015-02-01	64	74	1	0
2015-03-01	114	265	0	0
2015-04-01	141	208	0	0
2015-05-01	118	174	7	2
2015-06-01	114	47	3	3
2015-07-01	80	8	0	0
2015-08-01	98	9	0	0
2015-09-01	93	18	0	0
2015-10-01	115	9	1	0
2015-11-01	100	15	2	0
2015-12-01	74	6	0	0
2016-01-01	67	13	3	0
2016-02-01	96	5	1	0
2016-03-01	126	18	0	0
2016-04-01	126	12	0	0
