date	html	pdf	abstract	epdf
2011-12-01	2	0	0	0
2012-01-01	10	5	5	0
2012-02-01	16	5	2	0
2012-03-01	30	17	0	0
2012-04-01	21	14	1	0
2012-05-01	40	18	2	0
2012-06-01	41	24	0	0
2012-07-01	10	9	1	0
2012-08-01	17	25	1	0
2012-09-01	23	15	3	0
2012-10-01	28	21	1	0
2012-11-01	20	19	2	0
2012-12-01	19	12	3	0
2013-01-01	16	10	3	0
2013-02-01	55	25	2	0
2013-03-01	53	23	1	0
2013-04-01	38	24	1	0
2013-05-01	24	16	1	0
2013-06-01	15	13	2	0
2013-07-01	6	17	1	0
2013-08-01	17	9	1	0
2013-09-01	18	29	0	0
2013-10-01	17	20	0	0
2013-11-01	16	16	1	0
2013-12-01	7	9	0	0
2014-01-01	15	4	2	0
2014-02-01	25	31	0	0
2014-03-01	27	27	2	0
2014-04-01	17	31	2	0
2014-05-01	20	24	2	0
2014-06-01	15	17	0	0
2014-07-01	47	16	9	0
2014-08-01	7	8	1	0
2014-09-01	18	10	1	0
2014-10-01	14	21	2	0
2014-11-01	33	17	0	0
2014-12-01	10	5	4	0
2015-01-01	24	5	3	0
2015-02-01	10	12	2	0
2015-03-01	14	18	2	0
2015-04-01	12	28	1	0
2015-05-01	25	38	7	0
2015-06-01	20	24	1	0
2015-07-01	13	9	0	0
2015-08-01	6	19	0	0
2015-09-01	12	14	0	0
2015-10-01	17	25	2	0
2015-11-01	23	22	2	0
2015-12-01	18	7	0	0
2016-01-01	13	11	4	0
2016-02-01	8	7	1	0
2016-03-01	18	7	0	0
2016-04-01	24	5	2	0
