date	html	pdf	abstract	epdf
2011-12-01	2	1	0	0
2012-01-01	73	13	1	0
2012-02-01	41	15	3	0
2012-03-01	82	24	1	0
2012-04-01	63	33	2	0
2012-05-01	79	8	3	0
2012-06-01	46	7	0	0
2012-07-01	51	14	3	0
2012-08-01	37	12	0	0
2012-09-01	58	7	1	0
2012-10-01	80	26	1	0
2012-11-01	87	18	4	0
2012-12-01	39	6	2	0
2013-01-01	69	14	2	0
2013-02-01	70	10	1	0
2013-03-01	76	10	3	0
2013-04-01	122	12	6	0
2013-05-01	142	13	1	0
2013-06-01	93	12	0	0
2013-07-01	68	12	0	0
2013-08-01	72	7	2	0
2013-09-01	67	13	1	0
2013-10-01	96	24	0	0
2013-11-01	70	16	3	0
2013-12-01	47	12	1	0
2014-01-01	35	4	2	0
2014-02-01	49	14	0	0
2014-03-01	64	18	2	0
2014-04-01	55	13	2	0
2014-05-01	54	28	2	0
2014-06-01	58	41	3	0
2014-07-01	61	48	8	0
2014-08-01	72	87	1	0
2014-09-01	65	65	1	0
2014-10-01	71	82	1	0
2014-11-01	83	89	1	0
2014-12-01	43	63	3	0
2015-01-01	57	40	1	0
2015-02-01	45	55	3	0
2015-03-01	74	117	2	0
2015-04-01	72	66	2	0
2015-05-01	72	125	9	0
2015-06-01	79	38	1	8
2015-07-01	67	11	0	0
2015-08-01	80	16	0	0
2015-09-01	48	11	0	0
2015-10-01	93	10	2	0
2015-11-01	80	19	1	0
2015-12-01	53	14	0	0
2016-01-01	50	18	1	0
2016-02-01	62	5	2	1
2016-03-01	58	11	0	0
2016-04-01	85	20	3	0
