date	html	pdf	abstract	epdf
2012-01-01	5	4	2	0
2012-02-01	6	5	1	0
2012-03-01	6	4	0	0
2012-04-01	7	8	0	0
2012-05-01	3	12	1	0
2012-06-01	5	14	0	0
2012-07-01	7	5	1	0
2012-08-01	4	4	0	0
2012-09-01	8	6	1	0
2012-10-01	9	8	0	0
2012-11-01	2	4	2	0
2012-12-01	6	8	2	0
2013-01-01	9	7	3	0
2013-02-01	6	3	2	0
2013-03-01	7	10	1	0
2013-04-01	16	13	4	0
2013-05-01	20	9	0	0
2013-06-01	5	9	2	0
2013-07-01	6	6	0	0
2013-08-01	5	8	2	0
2013-09-01	3	7	0	0
2013-10-01	10	8	0	0
2013-11-01	10	8	1	0
2013-12-01	1	4	0	0
2014-01-01	1	4	3	0
2014-02-01	6	15	0	0
2014-03-01	13	14	1	0
2014-04-01	4	7	1	0
2014-05-01	2	13	1	0
2014-06-01	7	5	2	0
2014-07-01	14	7	10	0
2014-08-01	6	6	3	0
2014-09-01	8	0	1	0
2014-10-01	10	12	0	0
2014-11-01	9	5	0	0
2014-12-01	10	5	3	0
2015-01-01	24	4	3	0
2015-02-01	6	4	2	0
2015-03-01	9	0	2	0
2015-04-01	5	1	1	0
2015-05-01	6	5	7	0
2015-06-01	2	14	1	0
2015-07-01	11	1	1	0
2015-08-01	7	4	0	0
2015-09-01	8	6	0	0
2015-10-01	16	5	2	0
2015-11-01	10	6	1	0
2015-12-01	17	3	0	0
2016-01-01	12	10	2	0
2016-02-01	9	4	2	0
2016-03-01	10	1	0	0
2016-04-01	11	6	0	0
