date	html	pdf	abstract	epdf
2012-01-01	45	29	2	0
2012-02-01	57	28	2	0
2012-03-01	84	24	0	0
2012-04-01	133	26	1	0
2012-05-01	102	23	3	0
2012-06-01	105	38	3	0
2012-07-01	83	24	1	0
2012-08-01	127	39	2	0
2012-09-01	107	24	1	0
2012-10-01	103	21	6	0
2012-11-01	104	28	3	0
2012-12-01	58	18	7	0
2013-01-01	55	16	10	0
2013-02-01	123	23	3	0
2013-03-01	176	46	2	0
2013-04-01	320	19	16	0
2013-05-01	118	23	24	0
2013-06-01	102	16	11	0
2013-07-01	82	23	9	0
2013-08-01	95	29	10	0
2013-09-01	75	15	4	0
2013-10-01	86	21	6	0
2013-11-01	119	31	12	0
2013-12-01	68	21	8	0
2014-01-01	64	18	20	0
2014-02-01	63	27	16	0
2014-03-01	90	23	18	0
2014-04-01	103	24	9	0
2014-05-01	109	42	22	0
2014-06-01	85	31	12	0
2014-07-01	91	23	23	0
2014-08-01	94	48	17	0
2014-09-01	96	27	12	0
2014-10-01	152	29	19	0
2014-11-01	150	36	20	0
2014-12-01	63	15	12	0
2015-01-01	124	29	15	0
2015-02-01	81	28	12	0
2015-03-01	91	33	10	0
2015-04-01	138	29	18	0
2015-05-01	152	33	22	2
2015-06-01	145	26	11	12
2015-07-01	151	34	20	0
2015-08-01	105	24	10	0
2015-09-01	71	20	6	2
2015-10-01	120	33	6	0
2015-11-01	117	30	8	1
2015-12-01	66	18	11	0
2016-01-01	70	22	8	0
2016-02-01	97	28	9	0
2016-03-01	79	20	5	0
2016-04-01	92	31	3	0
