date	html	pdf	abstract	epdf
2011-12-01	3	0	1	0
2012-01-01	74	10	3	0
2012-02-01	84	7	6	0
2012-03-01	87	6	3	0
2012-04-01	35	7	2	0
2012-05-01	65	5	2	0
2012-06-01	76	5	4	0
2012-07-01	75	2	5	0
2012-08-01	43	6	2	0
2012-09-01	78	4	5	0
2012-10-01	118	6	4	0
2012-11-01	102	2	2	0
2012-12-01	71	3	5	0
2013-01-01	74	7	6	0
2013-02-01	44	11	4	0
2013-03-01	47	2	5	0
2013-04-01	39	4	1	0
2013-05-01	43	2	2	0
2013-06-01	20	4	5	0
2013-07-01	16	2	3	0
2013-08-01	14	5	5	0
2013-09-01	29	1	0	0
2013-10-01	37	5	0	0
2013-11-01	36	13	4	0
2013-12-01	26	7	0	0
2014-01-01	29	5	2	0
2014-02-01	38	8	5	0
2014-03-01	43	13	1	0
2014-04-01	38	5	3	0
2014-05-01	27	4	2	0
2014-06-01	17	11	1	0
2014-07-01	41	4	16	0
2014-08-01	29	5	5	0
2014-09-01	26	3	2	0
2014-10-01	23	3	1	0
2014-11-01	29	10	2	0
2014-12-01	14	1	2	0
2015-01-01	22	8	2	0
2015-02-01	17	3	2	0
2015-03-01	35	9	3	0
2015-04-01	17	4	2	0
2015-05-01	18	6	7	0
2015-06-01	17	8	2	1
2015-07-01	16	3	2	0
2015-08-01	11	6	0	0
2015-09-01	13	5	0	0
2015-10-01	41	7	1	0
2015-11-01	21	6	2	0
2015-12-01	21	3	0	0
2016-01-01	24	7	1	0
2016-02-01	27	4	4	0
2016-03-01	15	6	4	0
2016-04-01	31	14	5	0
