date	html	pdf	abstract	epdf
2012-01-01	35	19	1	0
2012-02-01	35	35	3	0
2012-03-01	52	44	41	0
2012-04-01	47	45	3	0
2012-05-01	42	52	5	0
2012-06-01	59	41	3	0
2012-07-01	52	47	4	0
2012-08-01	54	30	4	0
2012-09-01	67	42	5	0
2012-10-01	90	49	1	0
2012-11-01	70	88	14	0
2012-12-01	55	42	5	0
2013-01-01	69	20	2	0
2013-02-01	73	47	2	0
2013-03-01	112	53	7	0
2013-04-01	127	37	3	0
2013-05-01	114	78	0	0
2013-06-01	78	44	7	0
2013-07-01	57	36	7	0
2013-08-01	43	40	5	0
2013-09-01	56	39	2	0
2013-10-01	73	60	2	0
2013-11-01	59	99	5	0
2013-12-01	26	43	5	0
2014-01-01	56	50	8	0
2014-02-01	36	73	1	0
2014-03-01	56	96	4	0
2014-04-01	53	99	3	0
2014-05-01	63	136	4	0
2014-06-01	58	82	2	0
2014-07-01	50	81	14	0
2014-08-01	50	61	2	0
2014-09-01	95	71	5	0
2014-10-01	57	73	2	0
2014-11-01	74	87	3	0
2014-12-01	48	53	7	0
2015-01-01	46	11	3	0
2015-02-01	29	33	1	0
2015-03-01	44	48	0	0
2015-04-01	41	9	1	0
2015-05-01	66	0	8	0
2015-06-01	61	53	1	6
2015-07-01	54	74	1	0
2015-08-01	35	60	1	0
2015-09-01	51	70	0	0
2015-10-01	54	84	4	0
2015-11-01	55	95	3	0
2015-12-01	40	60	1	1
2016-01-01	31	62	3	0
2016-02-01	28	33	0	0
2016-03-01	36	30	0	0
2016-04-01	52	38	0	0
