date	html	pdf	abstract	epdf
2011-12-01	2	1	0	0
2012-01-01	20	8	5	0
2012-02-01	23	4	5	0
2012-03-01	43	19	5	0
2012-04-01	43	31	2	0
2012-05-01	49	24	3	0
2012-06-01	36	30	4	0
2012-07-01	16	21	18	0
2012-08-01	31	21	3	0
2012-09-01	36	13	8	0
2012-10-01	39	19	6	0
2012-11-01	48	10	3	0
2012-12-01	21	10	9	0
2013-01-01	9	6	8	0
2013-02-01	25	19	7	0
2013-03-01	85	17	11	0
2013-04-01	54	11	8	0
2013-05-01	32	20	5	0
2013-06-01	35	20	9	0
2013-07-01	6	15	4	0
2013-08-01	11	21	8	0
2013-09-01	16	24	0	0
2013-10-01	37	21	1	0
2013-11-01	21	24	2	0
2013-12-01	7	9	0	0
2014-01-01	9	8	3	0
2014-02-01	13	6	2	0
2014-03-01	21	11	3	0
2014-04-01	14	14	2	0
2014-05-01	14	19	2	0
2014-06-01	11	8	5	0
2014-07-01	24	10	15	0
2014-08-01	17	15	3	0
2014-09-01	13	6	1	0
2014-10-01	23	6	2	0
2014-11-01	11	10	0	0
2014-12-01	44	0	3	0
2015-01-01	30	1	1	0
2015-02-01	7	2	2	0
2015-03-01	12	5	2	0
2015-04-01	21	10	8	0
2015-05-01	21	8	9	0
2015-06-01	23	10	1	1
2015-07-01	7	2	0	0
2015-08-01	11	8	0	0
2015-09-01	14	6	0	0
2015-10-01	26	8	2	0
2015-11-01	9	9	3	0
2015-12-01	16	3	1	0
2016-01-01	17	9	3	0
2016-02-01	12	6	4	0
2016-03-01	9	6	2	0
2016-04-01	9	8	2	0
