date	html	pdf	abstract	epdf
2012-01-01	12	4	1	0
2012-02-01	18	7	5	0
2012-03-01	20	3	3	0
2012-04-01	8	1	1	0
2012-05-01	20	2	4	0
2012-06-01	15	7	4	0
2012-07-01	8	5	3	0
2012-08-01	15	8	2	0
2012-09-01	17	1	2	0
2012-10-01	21	2	0	0
2012-11-01	10	5	2	0
2012-12-01	7	4	4	0
2013-01-01	6	1	3	0
2013-02-01	14	8	6	0
2013-03-01	19	4	7	0
2013-04-01	36	7	2	0
2013-05-01	30	0	3	0
2013-06-01	8	5	4	0
2013-07-01	19	2	2	0
2013-08-01	9	5	3	0
2013-09-01	8	3	0	0
2013-10-01	14	6	0	0
2013-11-01	9	6	2	0
2013-12-01	7	5	0	0
2014-01-01	9	7	2	0
2014-02-01	9	2	1	0
2014-03-01	18	7	1	0
2014-04-01	6	10	3	0
2014-05-01	8	6	2	0
2014-06-01	3	4	2	0
2014-07-01	26	8	13	0
2014-08-01	14	5	4	0
2014-09-01	14	6	1	0
2014-10-01	19	10	1	0
2014-11-01	16	6	1	0
2014-12-01	13	6	5	0
2015-01-01	21	7	1	0
2015-02-01	12	5	2	0
2015-03-01	8	11	2	0
2015-04-01	12	7	1	0
2015-05-01	4	6	6	0
2015-06-01	5	11	1	0
2015-07-01	6	11	0	0
2015-08-01	5	10	0	0
2015-09-01	8	9	0	0
2015-10-01	16	10	1	0
2015-11-01	13	18	2	0
2015-12-01	15	5	0	0
2016-01-01	14	17	3	0
2016-02-01	5	25	0	0
2016-03-01	10	13	0	0
2016-04-01	15	17	0	0
